name;price;special;model;articul;marka;category1;category2;category3;category4;foto1;ostatok;text;keyword;description;tags;visibility;minimum;vklike;vkshare;fblike;google;mymir;oklike;twitter;delivery;video;Вид товара;Комплектация;Материал;Механизм;Тип ремешка;Цвет;Цвет ремешка;Цвет циферблата;Материал циферблата;Материал ремешка;foto2;foto3;foto4;foto5;foto6;foto7
Eleven's Big numbers Black;2990;;Big numbers;;Eleven's Heaven;Часы Eleven's;;;;data/hmw/static/img/0000/0000/8447/8447035.mw2luv0aje.JPG;;"<p style=""vertical-align: baseline;"">Часы от Eleven's Heaven.</p>
<p style=""vertical-align: baseline;"">Часики будут нежно облегать вашу руку, будут незаметно лёгкими и заметно притягательными для взгляда.</p>
<p style=""vertical-align: baseline;""><span style=""font-weight: bolder;"">Можно заказать для примерки&nbsp;<span style=""vertical-align: baseline; font-style: inherit;"">несколько часов на выбор!</span></span></p>
<p style=""vertical-align: baseline;"">И приобрести сменные ремешки отдельно. В наличии имеются&nbsp;<a style=""vertical-align: baseline; font-style: inherit;"" href=""data/hmw/products/704274"" target=""_blank"">ремешки гладкие</a>&nbsp;и&nbsp;<a style=""vertical-align: baseline; font-style: inherit;"" href=""data/hmw/products/704366"" target=""_blank"">ремешки прошитые</a>.&nbsp;</p>";Eleven's, Eleven's Heaven, Eleven's Heaven Creative Studio, eleven's часы, eleven;Eleven's Heaven Creative Studio, eleven's часы, eleven;704274,704366,534012,454838;1;1;5;5;5;5;5;5;5;Доставка;Видео;Наручные часы;часы, коробочка, мешочек, гарантия;;Часы кварцевые;Гладкий 1;;Black;Черный;металл;натуральная кожа;data/hmw/static/img/0000/0000/8447/8447042.ejyxrloqmu.JPG;data/hmw/static/img/0000/0000/8447/8447046.av2h0qqi62.jpg;data/hmw/static/img/0000/0000/8447/8447047.gqudbfifld.JPG;data/hmw/static/img/0000/0000/8447/8447049.sqnc2iv6fu.JPG;;
Eleven's Big numbers Light brown;2990;;Big numbers;;Eleven's Heaven;Часы Eleven's;;;;data/hmw/static/img/0000/0000/2311/2311773.l5befoz202.jpg;;"<p style=""text-align: center;"">Часы от Eleven's Heaven.</p>
<p>Часики будут нежно облегать вашу руку, будут незаметно лёгкими и заметно притягательными для взгляда.<br />Есть другие цвета ремешков (<a href=""data/hmw/products/454792"" target=""_self"">красный</a>,&nbsp;<a href=""data/hmw/products/454816"" target=""_self"">синий</a>,<a href=""data/hmw/products/454776"" target=""_self"">белый</a>). &nbsp;</p>
<p>Можно заказать для примерки&nbsp;<span style=""font-weight: bolder;"">несколько часов на выбор!</span></p>
<p>И приобрести сменные ремешки отдельно. В наличии имеются&nbsp;<a href=""data/hmw/products/704274"" target=""_blank"">ремешки гладкие</a>&nbsp;и&nbsp;<a href=""data/hmw/products/704366"" target=""_blank"">ремешки прошитые</a>.&nbsp;</p>";11's, 11's Heaven, Eleven's, Eleven's Heaven, Eleven's Heaven Creative Studio, eleven's часы, eleven;11's, 11's Heaven, Eleven's, Eleven's Heaven, Eleven's Heaven Creative Studio, eleven's часы, elevens watch, hand made, hand made  часы, ремешки из кожи;704274,704366,490733;1;1;5;5;5;5;5;5;5;Доставка;Видео;Наручные часы;часы, коробочка, мешочек, гарантия;;Часы кварцевые;Гладкий 1;;Light brown;Черный;металл;натуральная кожа;data/hmw/static/img/0000/0000/2311/2311759.sf6tir6qp1.jpg;data/hmw/static/img/0000/0000/2311/2311761.q22hr8uljd.jpg;data/hmw/static/img/0000/0000/2311/2311762.rtslhngyzu.jpg;data/hmw/static/img/0000/0000/2311/2311769.sfosv0ak2e.jpg;data/hmw/static/img/0000/0000/4665/4665093.rvij5x2t6f.jpg;data/hmw/static/img/0000/0000/8213/8213656.br7b19xlet.JPG
Eleven's Big numbers Mix;2990;;Big numbers;;Eleven's Heaven;Часы Eleven's;;;;data/hmw/static/img/0000/0001/5797/15797799.q625eotnci.jpg;;"<p style=""vertical-align: baseline;"">Часы от Eleven's Heaven.</p>
<p style=""vertical-align: baseline;""><span style=""font-weight: bolder;"">Можно заказать для примерки&nbsp;<span style=""vertical-align: baseline; font-style: inherit;"">несколько часов на выбор!</span></span></p>
<p style=""vertical-align: baseline;"">И приобрести сменные ремешки отдельно. В наличии имеются&nbsp;<a style=""vertical-align: baseline; font-style: inherit;"" href=""data/hmw/products/704274"" target=""_blank"">ремешки гладкие</a>&nbsp;и&nbsp;<a style=""vertical-align: baseline; font-style: inherit;"" href=""data/hmw/products/704366"" target=""_blank"">ремешки прошитые</a>.&nbsp;</p>";Eleven's Heaven Creative Studio, eleven's часы, eleven;Eleven's Heaven Creative Studio, eleven's часы, eleven;534012,466858,704366;1;1;5;5;5;5;5;5;5;Доставка;Видео;Наручные часы;часы, коробочка, мешочек, гарантия;;Часы кварцевые;Гладкий 1;;Mix;Черный;металл;натуральная кожа;data/hmw/static/img/0000/0001/5797/15797800.lgbgsbsaby.jpg;data/hmw/static/img/0000/0001/5797/15797807.5lobi5evqq.jpg;data/hmw/static/img/0000/0001/5797/15797970.79g7ddvq2i.JPG;data/hmw/static/img/0000/0001/5797/15797975.fhrrjnbdv7.JPG;;
Eleven's Big numbers Purple;2990;;Big numbers;;Eleven's Heaven;Часы Eleven's;;;;data/hmw/static/img/0000/0001/5798/15798403.9j5heia2fm.jpg;;"<p style=""vertical-align: baseline;"">Часы от Eleven's Heaven.часы винтажные наручные</p>
<p style=""vertical-align: baseline;"">Винтажные наручные&nbsp;часы будут нежно облегать вашу руку, будут незаметно лёгкими и заметно притягательными для взгляда.</p>
<p style=""vertical-align: baseline;""><span style=""font-weight: bolder;"">Можно заказать для примерки&nbsp;<span style=""vertical-align: baseline; font-style: inherit;"">несколько часов на выбор!</span></span></p>
<p style=""vertical-align: baseline;"">И приобрести сменные ремешки отдельно. В наличии имеются&nbsp;<a style=""vertical-align: baseline; font-style: inherit;"" href=""data/hmw/products/704274"" target=""_blank"">ремешки гладкие</a>&nbsp;и&nbsp;<a style=""vertical-align: baseline; font-style: inherit;"" href=""data/hmw/products/704366"" target=""_blank"">ремешки прошитые</a>.&nbsp;</p>";Eleven's, Eleven's Heaven, Eleven's Heaven Creative Studio, eleven's часы, eleven;Eleven's, Eleven's Heaven, Eleven's Heaven Creative Studio, eleven's часы, eleven;704274,5027;1;1;5;5;5;5;5;5;5;Доставка;Видео;Наручные часы;часы, коробочка, мешочек, гарантия;;Часы кварцевые;Гладкий 1;;Purple;Черный;металл;натуральная кожа;data/hmw/static/img/0000/0001/5798/15798511.ih6c7r4esr.JPG;data/hmw/static/img/0000/0001/5798/15798512.9546uxppjy.jpg;data/hmw/static/img/0000/0001/5798/15798515.fzjy0qso79.JPG;;;
Eleven's Big numbers Red;2990;;Big numbers;;Eleven's Heaven;Часы Eleven's;;;;data/hmw/static/img/0000/0000/2311/2311747.5xfqp8who2.jpg;;"<p style=""text-align: center;"">Часы от Eleven's Heaven.</p>
<p>&nbsp; &nbsp; &nbsp; &nbsp;Часики будут нежно облегать вашу руку, будут незаметно лёгкими и заметно притягательными для взгляда.<br />Есть другие цвета ремешков (<a href=""data/hmw/products/454776"" target=""_self"">белый,</a>&nbsp;<a href=""data/hmw/products/454816"" target=""_self"">синий</a>,&nbsp;<a href=""data/hmw/products/454809"" target=""_self"">светло-коричневый</a>). &nbsp;</p>
<p><span style=""font-weight: bolder;"">Можно заказать для примерки несколько часов на выбор!</span></p>
<p>И приобрести сменные ремешки отдельно. В наличии имеются <a href=""data/hmw/products/704274"" target=""_blank"">ремешки гладкие</a> и <a href=""data/hmw/products/704366"" target=""_blank"">ремешки прошитые</a>.&nbsp;</p>";11's, 11's Heaven, Eleven's, Eleven's Heaven, Eleven's Heaven Creative Studio, eleven's часы, eleven;11's, 11's Heaven, Eleven's, Eleven's Heaven, Eleven's Heaven Creative Studio, eleven's часы, elevens watch, hand made, hand made  часы, ремешки из кожи;704274,704366,465752,490527;1;1;5;5;5;5;5;5;5;Доставка;Видео;Наручные часы;часы, коробочка, мешочек, гарантия;;Часы кварцевые;Гладкий 1;;Red;Черный;металл;натуральная кожа;data/hmw/static/img/0000/0000/2311/2311741.bzk1x569qx.JPG;data/hmw/static/img/0000/0000/2311/2311742.ercou5z3n6.jpg;data/hmw/static/img/0000/0000/2311/2311744.ku4771sxzj.jpg;data/hmw/static/img/0000/0000/2311/2311746.4p9qehkzfz.jpg;data/hmw/static/img/0000/0000/8213/8213629.3ibfhc9qkf.JPG;
Eleven's Big numbers red 2;2990;;Big numbers;;Eleven's Heaven;Часы Eleven's;;;;data/hmw/static/img/0000/0001/5798/15798290.t8zcf2j81a.jpg;;"<p style=""vertical-align: baseline;"">Часы от Elevens Heaven.</p>
<p style=""vertical-align: baseline;""><span style=""font-weight: bolder;"">Можно заказать для примерки&nbsp;<span style=""vertical-align: baseline; font-style: inherit;"">несколько часов на выбор!</span></span></p>
<p style=""vertical-align: baseline;"">И приобрести сменные ремешки отдельно. В наличии имеются&nbsp;<a style=""vertical-align: baseline; font-style: inherit;"" href=""data/hmw/products/704274"" target=""_blank"">ремешки гладкие</a>&nbsp;и&nbsp;<a style=""vertical-align: baseline; font-style: inherit;"" href=""data/hmw/products/704366"" target=""_blank"">ремешки прошитые</a>.&nbsp;</p>";Eleven's Heaven Creative Studio, eleven's часы, eleven;Eleven's Heaven Creative Studio, eleven's часы, eleven;704366,884112,1375855;1;1;5;5;5;5;5;5;5;Доставка;Видео;Наручные часы;часы, коробочка, мешочек, гарантия;;Часы кварцевые;Гладкий 1;;Red;Черный;металл;натуральная кожа;data/hmw/static/img/0000/0001/5798/15798240.5qjjexjqqj.JPG;data/hmw/static/img/0000/0001/5798/15798255.273wrspctm.jpg;data/hmw/static/img/0000/0001/5798/15798273.zlnpwch7ku.JPG;data/hmw/static/img/0000/0001/5798/15798287.98smumz5xr.jpg;;
Eleven's Big numbers Оrange;2990;;Big numbers;;Eleven's Heaven;Часы Eleven's;;;;data/hmw/static/img/0000/0001/5798/15798648.qegs18hu9c.jpg;;"<p style=""vertical-align: baseline;"">Часы от Eleven's Heaven.</p>
<p style=""vertical-align: baseline;"">Часики будут нежно облегать вашу руку, будут незаметно лёгкими и заметно притягательными для взгляда.</p>
<p style=""vertical-align: baseline;""><span style=""font-weight: bolder;"">Можно заказать для примерки&nbsp;<span style=""vertical-align: baseline; font-style: inherit;"">несколько часов на выбор!</span></span></p>
<p style=""vertical-align: baseline;"">И приобрести сменные ремешки отдельно. В наличии имеются&nbsp;<a style=""vertical-align: baseline; font-style: inherit;"" href=""data/hmw/products/704274"" target=""_blank"">ремешки гладкие</a>&nbsp;и&nbsp;<a style=""vertical-align: baseline; font-style: inherit;"" href=""data/hmw/products/704366"" target=""_blank"">ремешки прошитые</a>.&nbsp;</p>";райские яблоки 2013 декабрь  elevens watch;райские яблоки 2013 декабрь  elevens watch;8014506,502739,704366,884572;1;1;5;5;5;5;5;5;5;Доставка;Видео;Наручные часы;часы, коробочка, мешочек, гарантия;;Часы кварцевые;Гладкий 1;;Оrange;Черный;металл;натуральная кожа;data/hmw/static/img/0000/0001/5798/15798681.9d1djc52ys.jpg;data/hmw/static/img/0000/0001/5798/15798685.e30t0pipyb.jpg;data/hmw/static/img/0000/0001/5798/15798686.p2i2r35g96.JPG;data/hmw/static/img/0000/0001/5798/15798687.bmbmm7sugn.jpg;data/hmw/static/img/0000/0001/5798/15798691.pmeg55udgg.JPG;
Elevens Ellipse;3300;;elevens oval;;Eleven's Heaven;Часы Eleven's;;;;;;;11's, 11's Heaven, Eleven's, Eleven's Heaven, Eleven's Heaven Creative Studio, eleven's часы, eleven;11's, 11's Heaven, Eleven's, Eleven's Heaven, Eleven's Heaven Creative Studio, eleven's часы, elevens watch, hand made, hand made  часы, ремешки из кожи;454809,465760,884572;1;1;5;5;5;5;5;5;5;Доставка;Видео;Наручные часы;часы, коробочка, мешочек, гарантия;;Часы кварцевые;Прошитый 2;;Оrange;Белый;металл;натуральная кожа;;;;;;
Elevens Ellipse 1;3300;;hand made  часы;;Eleven's Heaven;Часы Eleven's;;;;;;;11's, 11's Heaven, Eleven's, Eleven's Heaven, Eleven's Heaven Creative Studio, eleven's часы, eleven;11's, 11's Heaven, Eleven's, Eleven's Heaven, Eleven's Heaven Creative Studio, eleven's часы, elevens watch, hand made, hand made  часы, ремешки из кожи;454828,4907;1;1;5;5;5;5;5;5;5;Доставка;Видео;Наручные часы;часы, коробочка, мешочек, гарантия;;Часы кварцевые;Прошитый 2;;Оrange;Белый;металл;натуральная кожа;;;;;;
Eleven's heaven double ring;2450;;double ring;;Eleven's Heaven;Часы Eleven's;;;;;;"<p>Эти винтажные часы станут завершающим штрихом безупречного стиля. Кожаный ремешок ручной работы прекрасно подойдет к вашему образу. На небольших стрелочках нанесена специальная краска, которая будет светиться в темноте, и поможет сориентироваться во времени. Эти часы для тех, кто ценит время и историю. Для тех, кто хочет быть стильным и модным. Новинка от Eleven&rsquo;s Heaven.</p>";11's, 11's Heaven, Eleven's, Eleven's Heaven, Eleven's Heaven Creative Studio, eleven's часы, eleven;11's, 11's Heaven, Eleven's, Eleven's Heaven, Eleven's Heaven Creative Studio, eleven's часы, elevens watch, hand made, hand made  часы, ремешки из кожи;454792;1;1;5;5;5;5;5;5;5;Доставка;Видео;Наручные часы;часы, коробочка, мешочек, гарантия;;Часы кварцевые;Прошитый 2;;Black;Белый;металл;натуральная кожа;;;;;;
Eleven's Pattern 3;2490;;Pattern;;Eleven's Heaven;Часы Eleven's;;;;;;;11's, 11's Heaven, Eleven's, Eleven's Heaven, Eleven's Heaven Creative Studio, eleven's часы, eleven;11's, 11's Heaven, Eleven's, Eleven's Heaven, Eleven's Heaven Creative Studio, eleven's часы, elevens watch, hand made, hand made  часы, ремешки из кожи;454792,2954731,884112;1;1;5;5;5;5;5;5;5;Доставка;Видео;Наручные часы;часы, коробочка, мешочек, гарантия;;Часы кварцевые;Прошитый 1;;Purple;Белый;металл;натуральная кожа;;;;;;
Eleven's Pattern 4;2490;;Pattern;;Eleven's Heaven;Часы Eleven's;;;;;;;11's, 11's Heaven, Eleven's, Eleven's Heaven, Eleven's Heaven Creative Studio, eleven's часы, eleven;11's, 11's Heaven, Eleven's, Eleven's Heaven, Eleven's Heaven Creative Studio, eleven's часы, elevens watch, hand made, hand made  часы, ремешки из кожи;502728,465743,490511,465760;1;1;5;5;5;5;5;5;5;Доставка;Видео;Наручные часы;часы, коробочка, мешочек, гарантия;;Часы кварцевые;Прошитый 1;;Purple;Белый;металл;натуральная кожа;;;;;;
Eleven's Shine Rubin;2450;;Shine;;Eleven's Heaven;Часы Eleven's;;;;;;"<p>Эти винтажные часы станут завершающим штрихом безупречного стиля. Кожаный ремешок ручной работы прекрасно подойдет к вашему образу. На небольших стрелочках нанесена специальная краска, которая будет светиться в темноте, и поможет сориентироваться во времени. Эти часы для тех, кто ценит время и историю. Для тех, кто хочет быть стильным и модным. Новинка от Eleven&rsquo;s Heaven</p>";11's, 11's Heaven, Eleven's, Eleven's Heaven, Eleven's Heaven Creative Studio, eleven's часы, eleven;11's, 11's Heaven, Eleven's, Eleven's Heaven, Eleven's Heaven Creative Studio, eleven's часы, elevens watch, hand made, hand made  часы, ремешки из кожи;704274;1;1;5;5;5;5;5;5;5;Доставка;Видео;Наручные часы;часы, коробочка, мешочек, гарантия;;Часы кварцевые;Прошитый 1;;Rubin;Белый;металл;натуральная кожа;;;;;;
Eleven's Shine Rubin (05);2450;;Shine;;Eleven's Heaven;Часы Eleven's;;;;;;"<p>&nbsp;Эти винтажные часы станут завершающим штрихом безупречного стиля. Кожаный ремешок ручной работы прекрасно подойдет к вашему образу. <span style=""font-weight: bolder;"">На небольших стрелочках нанесена специальная краска, которая будет светиться в темноте</span>, и поможет сориентироваться во времени. Эти часы для тех, кто ценит время и историю. Для тех, кто хочет быть стильным и модным. Новинка от Eleven&rsquo;s Heaven.</p>
<p style=""vertical-align: baseline;"">Можно заказать для примерки&nbsp;<span style=""vertical-align: baseline; font-weight: bolder; font-style: inherit;"">несколько часов на выбор!</span></p>
<p style=""vertical-align: baseline;"">И приобрести сменные ремешки отдельно. В наличии имеются&nbsp;<a style=""vertical-align: baseline; font-weight: inherit; font-style: inherit;"" href=""data/hmw/products/704274"" target=""_blank"">ремешки гладкие</a>&nbsp;и&nbsp;<a style=""vertical-align: baseline; font-weight: inherit; font-style: inherit;"" href=""data/hmw/products/704366"" target=""_blank"">ремешки прошитые</a>.&nbsp;</p>";Часы от Eleven's Heaven.;Часы от Eleven's Heaven.;704366;1;1;5;5;5;5;5;5;5;Доставка;Видео;Наручные часы;часы, коробочка, мешочек, гарантия;;Часы кварцевые;Прошитый 1;;Rubin;Белый;металл;натуральная кожа;;;;;;
Eleven's Shine White (06);2450;;Shine;;Eleven's Heaven;Часы Eleven's;;;;;;<p>Эти винтажные часы станут завершающим штрихом безупречного стиля. Кожаный ремешок ручной работы надёжно сомкнётся на вашем запястье. На небольших стрелочках нанесена специальная краска, которая будет светиться в темноте, и поможет сориентироваться во времени. Эти часы для тех, кто ценит время и историю. Для тех, кто хочет быть стильным и модным.</p>;часы необычные hand made watch;часы необычные hand made watch;704274;1;1;5;5;5;5;5;5;5;Доставка;Видео;Наручные часы;часы, коробочка, мешочек, гарантия;;Часы кварцевые;Прошитый 1;;White;Белый;металл;натуральная кожа;;;;;;
